longitude,latitude,SAUID,SAFIELD000,SAFIELD001,SAFIELD002,SAFIELD003,SAFIELD004,SAFIELD005,SAFIELD006,SAFIELD007,SAFIELD008,SAFIELD009,SAFIELD010
138.9783979,37.7078572,1573,中之口東小学校,小吉1100,025-375-2135,025-375-2135,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,中之口地区,屋内,西蒲区,5549480,976,81090
138.9807947,37.69202083,1712,新飯田地域生活センター,新飯田1261番地１,025-374-2001,025-374-2001,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,白根地区,屋内,南区,5549324,105,61700
138.9820745,37.68731027,1747,新飯田小学校,新飯田1791番地,025-374-2021,025-374-2027,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,白根地区,屋内,南区,5549284,704,61020
138.7960525,37.73822262,1617,岩室すこやかセンター,間瀬4290番地１,0256-85-2001, ,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,岩室地区,屋内,西蒲区,5549434,276,82030
138.7969927,37.73838515,1621,間瀬公民館,間瀬4287番地１,0256-85-2373, ,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,岩室地区,屋内,西蒲区,5549430,69,81720
138.7950859,37.73216201,1888,高屋ふれあいセンター,間瀬5165番地2, , ,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,岩室地区,屋内,西蒲区,393,25,82270
138.8451432,37.75661334,1548,入徳館野外研修場,峰岡444番地2,0256-72-2876, ,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,巻地区,屋内,西蒲区,5549511,196,81960
138.8511875,37.72973054,1551,岩室小学校,西長島510番地,0256-82-2026,0256-82-5748,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,岩室地区,屋内,西蒲区,5549508,1323,81010
138.8672653,37.72634205,1618,岩室地区公民館,西中860番地,0256-82-4444,0256-82-4484,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,岩室地区,屋内,西蒲区,5549433,870,81710
138.8767005,37.72767621,1619,岩室農村環境改善センター,和納3930番地,0256-82-5877, ,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,岩室地区,屋内,西蒲区,5549432,580,82020
138.8368969,37.73107346,1620,岩室健康増進センター「よりなれ」,石瀬3331番地1,0256-82-2270,0256-82-4483,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,岩室地区,屋内,西蒲区,5549431,123,82010
138.881181,37.72082738,1623,和納保育園,和納909番地,0256-82-3009,0256-82-3009,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,岩室地区,屋内,西蒲区,5549427,284,81520
138.8411021,37.73212137,1624,岩室保育園,橋本101番地１,0256-82-2165,0256-82-2165,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,岩室地区,屋内,西蒲区,5549426,296,81510
138.867282,37.72673297,1625,岩室体育館,西中860番地,0256-82-4444,0256-82-4484,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,岩室地区,屋内,西蒲区,5549424,1260,81920
138.8604867,37.72887701,1626,岩室中学校,西中1421番地,0256-82-2059,0256-82-4381,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,岩室地区,屋内,西蒲区,5549423,1477,81210
138.8852737,37.72268215,1627,和納小学校,和納1212番地,0256-82-3028,0256-82-5780,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,岩室地区,屋内,西蒲区,5549422,1196,81020
138.8818737,37.75442033,1635,巻つくし保育園,堀山新田256,0256-72-3990,0256-72-3990,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,巻地区,屋内,西蒲区,5549413,227,81590
138.8921267,37.75501173,1637,西蒲区巻地域保健福祉センター,巻甲4363,0256-72-7100,0256-72-7025,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,巻地区,屋内,西蒲区,5549410,238,82080
138.8908741,37.75497967,1639,巻総合高等学校,巻甲4295－１,0256-72-3261,0256-72-1751,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,巻地区,屋内,西蒲区,5549408,922,81340
138.8763126,37.75606138,1652,巻南小学校,堀山新田1301,0256-72-2067,0256-72-2502,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,巻地区,屋内,西蒲区,5549393,2040,81110
138.9529248,37.73073324,1572,中之口西小学校,打越甲244,025-375-3015,025-375-3015,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,中之口地区,屋内,西蒲区,5549481,997,81100
138.9271932,37.74883793,1628,漆山東保育園,漆山3320,0256-76-2315,0256-72-8142,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,巻地区,屋内,西蒲区,5549421,181,81620
138.9147752,37.7349538,1629,漆山西保育園,並岡10－2,0256-72-8142,0256-72-8142,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,巻地区,屋内,西蒲区,5549420,170,81610
138.9190053,37.74807395,1644,漆山公民館,馬堀6001－56,0256-73-2660, ,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,巻地区,屋内,西蒲区,5549401,122,81740
138.9266946,37.74873008,1645,漆山グラウンド・体育館,漆山3299-3,0256-73-2501, ,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,巻地区,屋内,西蒲区,5549400,384,81950
138.9011575,37.74520654,1646,巻東中学校,潟頭1493,0256-72-3332,0256-72-3632,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,巻地区,屋内,西蒲区,5549399,2152,81260
138.9201235,37.74304795,1650,漆山小学校,馬堀4515,0256-73-2036,0256-73-2036,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,巻地区,屋内,西蒲区,5549395,1030,81130
138.9507486,37.75178674,1656,潟東南小学校,今井1031番地,0256-86-2205,0256-86-3665,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,潟東地区,屋内,西蒲区,5549389,782,81080
139.0058476,37.75595395,1559,味方地区千日運動施設,西白根262番地,025-372-2659, ,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,味方地区,屋内,南区,5549498,143,62040
138.96078,37.72510455,1566,中之口老人福祉センター,福島323,025-375-3230, ,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,中之口地区,屋内,西蒲区,5549487,94,82090
138.9685825,37.71223629,1567,中之口地区公民館,中之口310,025-375-5008, ,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,中之口地区,屋内,西蒲区,5549486,745,81730
138.967123,37.72143392,1568,なかのくち保育園,三ツ門59-2,025-375-3060, ,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,中之口地区,屋内,西蒲区,5549485,356,81550
138.9672154,37.72204087,1569,中之口幼稚園,三ツ門57－１,025-375-2528, ,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,中之口地区,屋内,西蒲区,5549484,419,81410
138.967428,37.71253218,1570,中之口体育館,中之口298,025-375-5007,025-375-5454,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,中之口地区,屋内,西蒲区,5549483,770,81930
138.9673334,37.71791925,1571,中之口中学校,中之口660,025-375-2337,025-375-2797,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,中之口地区,屋内,西蒲区,5549482,1387,81240
138.9984289,37.73099826,1599,南区月潟健康センター,月潟1417番地,025-375-1020,025-375-1022,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,月潟地区,屋内,南区,5549454,607,62130
138.9947789,37.73223015,1600,いこいの家月寿荘,月潟770番地,025-375-2474, ,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,月潟地区,屋内,南区,5549452,230,62330
138.9953892,37.73380542,1601,月潟農村環境改善センター,西萱場1069番地,025-375-5500, ,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,月潟地区,屋内,南区,5549451,507,62220
138.9912906,37.72798636,1602,月潟地区公民館,月潟535番地,025-375-1050,025-375-1051,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,月潟地区,屋内,南区,5549450,312,61860
138.9948186,37.73363508,1603,月潟中学校,月潟740番地,025-375-2106,025-375-2917,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,月潟地区,屋内,南区,5549448,1337,61260
138.9980455,37.73154898,1604,月潟小学校,月潟1410番地,025-375-2046,025-375-1404,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,月潟地区,屋内,南区,5549447,1059,61110
138.9975562,37.71793442,1711,茨曽根地域生活センター,茨曽根3443番地,025-375-2035,025-375-2035,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,白根地区,屋内,南区,5549325,81,61690
139.0130279,37.75448322,1715,諏訪木保育園,白根水道町10番地35,025-372-2628,025-372-2628,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,白根地区,屋内,南区,5549321,146,61410
139.0176275,37.71283517,1737,白南中学校,茨曽根7619番地,025-375-1250,025-375-1255,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,白根地区,屋内,南区,5549295,1613,61240
138.9997388,37.71816595,1746,茨曽根小学校,茨曽根1432番地１,025-375-2119,025-375-1530,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,白根地区,屋内,南区,5549285,768,61030
139.0883321,37.73311228,1584,小須戸温泉健康センター,天ヶ沢498番地１,0250-38-5800, ,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,小須戸地区,屋内,秋葉区,5549469,123,52030
139.076544,37.75328199,1586,小須戸幼稚園,横川浜527番地１,0250-38-2670, ,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,小須戸地区,屋内,秋葉区,5549467,204,51570
139.0841135,37.73173573,1587,鎌倉地域研修センター,鎌倉273番地１,0250-38-2907, ,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,小須戸地区,屋内,秋葉区,5549466,73,52220
139.0683155,37.74194678,1589,ワークセンターほほえみ,小向1744番地,0250-38-3015,0250-38-3015,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,小須戸地区,屋内,秋葉区,5549464,44,52050
139.0715855,37.75566923,1592,小須戸地区公民館,小須戸117番地１,0250-38-2234, ,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,小須戸地区,屋内,秋葉区,5549461,1581,52720
139.0911451,37.74049518,1593,小須戸地区ふれあい会館,矢代田35番地,0250-38-3151, ,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,小須戸地区,屋内,秋葉区,5549460,306,52040
139.0772354,37.75297081,1594,小須戸武道館,横川浜239番地１,0250-38-2121,0250-38-2121,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,小須戸地区,屋内,秋葉区,5549459,247,51840
139.0761938,37.75254764,1595,小須戸体育館,横川浜526番地２, , ,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,小須戸地区,屋内,秋葉区,5549458,651,51830
139.0750063,37.75280844,1596,小須戸中学校,横川浜526番地１,0250-38-2133,0250-38-4100,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,小須戸地区,屋内,秋葉区,5549457,1519,51260
139.0926863,37.73949845,1597,矢代田小学校,矢代田5596番地,0250-38-2233,0250-38-2204,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,小須戸地区,屋内,秋葉区,5549456,904,51130
139.0719706,37.75219167,1598,小須戸小学校,横川浜541番地１,0250-38-3500,0250-38-3501,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,小須戸地区,屋内,秋葉区,5549455,1564,51120
139.0327908,37.74770868,1709,小林地域生活センター,下木山613番地,025-372-3033,025-372-3033,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,白根地区,屋内,南区,5549328,85,61680
139.0410014,37.71885596,1710,庄瀬地域生活センター,庄瀬6489番地,025-372-2901,025-372-2901,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,白根地区,屋内,南区,5549327,102,61660
139.0308978,37.75498156,1745,小林小学校,浦梨215番地１,025-372-2437,025-372-2450,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,白根地区,屋内,南区,5549287,874,61050
139.0426137,37.72169344,1891,庄瀬小学校,菱潟新田193番地,025-372-2909, ,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,白根地区,屋内,南区,397,991,61040
139.1018175,37.75472095,1535,新津南高等学校,矢代田3200番地１,0250-38-2912,0250-38-5424,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,秋葉区,屋内,秋葉区,9326921,863,51330
139.0949615,37.7503027,1590,矢代田保育園,矢代田1237番地１,0250-38-2269,0250-38-5294,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,小須戸地区,屋内,秋葉区,5549463,109,51650
139.1121708,37.74914413,1716,石油の里公園観光物産館,金津1193番地,0250-22-6911,0250-22-6910,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,新津地区,屋内,秋葉区,5549319,89,52310
138.8145139,37.77122348,1633,巻ふるさと会館,五ヶ浜2237,0256-78-2211, ,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,巻地区,屋内,西蒲区,5549415,166,82230
138.8815838,37.75863036,1527,西蒲高等特別支援学校,堀山新田51－１,0256-72-2049,0256-72-1718,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,巻地区,屋内,西蒲区,5549407,509,81330
138.8316843,37.76006292,1550,じょんのび館,福井4067,0256-72-4126,0256-72-1126,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,巻地区,屋内,西蒲区,5549509,242,82220
138.8647171,37.75706655,1630,峰岡公民館,鷲ノ木1633-9,0256-73-4055, ,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,巻地区,屋内,西蒲区,5549419,119,81760
138.8833558,37.76401785,1631,巻やすらぎ会館,巻甲121－１,0256-72-7120, ,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,巻地区,屋内,西蒲区,5549417,133,82240
138.8887562,37.75924108,1632,巻保育園,巻甲2644,0256-72-3356,0256-72-3356,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,巻地区,屋内,西蒲区,5549416,229,81580
138.8284168,37.75934177,1634,巻農村環境改善センター,福井3975番地１,0256-72-8848, ,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,巻地区,屋内,西蒲区,5549414,454,82070
138.884091,37.75882711,1636,巻文化会館・巻地区公民館,巻甲635,0256-72-3329,0256-73-4746,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,巻地区,屋内,西蒲区,5549412,2977,82120
138.8835383,37.7589893,1638,巻体育館,巻甲647,0256-72-0050, ,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,巻地区,屋内,西蒲区,5549409,732,81910
138.8808011,37.76285702,1640,巻高等学校,巻乙30－１,0256-72-2351,0256-73-4424,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,巻地区,屋内,西蒲区,5549406,964,81320
